Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.10 loss = 2.212, wps = 43958
0.20 loss = 2.211, wps = 44077
0.30 loss = 2.204, wps = 44148
0.40 loss = 2.207, wps = 44442
0.50 loss = 2.207, wps = 47411
0.60 loss = 2.207, wps = 45057
0.70 loss = 2.207, wps = 44093
0.80 loss = 2.205, wps = 44654
0.90 loss = 2.207, wps = 44301
Epoch: 16, Loss = 2.206, 
0.00 loss = 2.209, wps = 37151
0.10 loss = 2.209, wps = 44683
0.20 loss = 2.209, wps = 44197
0.30 loss = 2.202, wps = 44570
0.40 loss = 2.205, wps = 44617
0.50 loss = 2.205, wps = 44451
0.60 loss = 2.205, wps = 44447
0.70 loss = 2.205, wps = 44287
0.80 loss = 2.204, wps = 44815
0.90 loss = 2.205, wps = 44639
Epoch: 17, Loss = 2.205, 
0.00 loss = 2.209, wps = 42076
0.10 loss = 2.210, wps = 44480
0.20 loss = 2.209, wps = 44072
0.30 loss = 2.202, wps = 44867
0.40 loss = 2.205, wps = 44446
0.50 loss = 2.204, wps = 44802
0.60 loss = 2.204, wps = 44718
0.70 loss = 2.204, wps = 44518
0.80 loss = 2.203, wps = 43952
0.90 loss = 2.204, wps = 44012
Epoch: 18, Loss = 2.204, 
0.00 loss = 2.214, wps = 35403
0.10 loss = 2.207, wps = 44062
0.20 loss = 2.207, wps = 44598
0.30 loss = 2.201, wps = 44358
0.40 loss = 2.203, wps = 44452
0.50 loss = 2.203, wps = 44804
0.60 loss = 2.203, wps = 44908
0.70 loss = 2.203, wps = 44405
0.80 loss = 2.202, wps = 44220
0.90 loss = 2.203, wps = 47986
Epoch: 19, Loss = 2.203, 
0.00 loss = 2.209, wps = 35648
0.10 loss = 2.207, wps = 44350
0.20 loss = 2.207, wps = 44632
0.30 loss = 2.200, wps = 45918
0.40 loss = 2.203, wps = 44241
0.50 loss = 2.203, wps = 44454
0.60 loss = 2.203, wps = 44447
0.70 loss = 2.203, wps = 44544
0.80 loss = 2.201, wps = 44056
0.90 loss = 2.202, wps = 44598
Epoch: 20, Loss = 2.202, 
0.00 loss = 2.215, wps = 23434
0.10 loss = 2.205, wps = 44611
0.20 loss = 2.206, wps = 45060
0.30 loss = 2.199, wps = 44549
0.40 loss = 2.202, wps = 44728
0.50 loss = 2.202, wps = 48762
0.60 loss = 2.202, wps = 48771
0.70 loss = 2.202, wps = 48637
0.80 loss = 2.201, wps = 46425
0.90 loss = 2.202, wps = 45998
Epoch: 21, Loss = 2.202, 
0.00 loss = 2.208, wps = 37036
0.10 loss = 2.207, wps = 46452
0.20 loss = 2.206, wps = 48272
0.30 loss = 2.200, wps = 44934
0.40 loss = 2.202, wps = 48340
0.50 loss = 2.202, wps = 48224
0.60 loss = 2.202, wps = 46957
0.70 loss = 2.202, wps = 44507
0.80 loss = 2.200, wps = 44598
0.90 loss = 2.202, wps = 44135
Epoch: 22, Loss = 2.201, 
0.00 loss = 2.206, wps = 42849
0.10 loss = 2.205, wps = 44890
0.20 loss = 2.205, wps = 44484
0.30 loss = 2.198, wps = 44686
0.40 loss = 2.201, wps = 45156
0.50 loss = 2.201, wps = 44574
0.60 loss = 2.201, wps = 44556
0.70 loss = 2.201, wps = 44447
0.80 loss = 2.200, wps = 44703
0.90 loss = 2.202, wps = 44684
Epoch: 23, Loss = 2.202, 
0.00 loss = 2.208, wps = 35724
0.10 loss = 2.205, wps = 44563
0.20 loss = 2.205, wps = 43965
0.30 loss = 2.199, wps = 44248
0.40 loss = 2.201, wps = 44408
0.50 loss = 2.201, wps = 44324
0.60 loss = 2.201, wps = 44266
0.70 loss = 2.201, wps = 44484
0.80 loss = 2.200, wps = 44472
0.90 loss = 2.201, wps = 44756
Epoch: 24, Loss = 2.200, 
0.00 loss = 2.204, wps = 38877
0.10 loss = 2.205, wps = 44478
0.20 loss = 2.206, wps = 47449
0.30 loss = 2.199, wps = 48421
0.40 loss = 2.201, wps = 48746
0.50 loss = 2.201, wps = 47632
0.60 loss = 2.201, wps = 44648
0.70 loss = 2.201, wps = 44752
0.80 loss = 2.199, wps = 44736
0.90 loss = 2.201, wps = 44587
Epoch: 25, Loss = 2.201, 
0.00 loss = 2.196, wps = 42676
0.10 loss = 2.205, wps = 44938
0.20 loss = 2.205, wps = 44545
0.30 loss = 2.198, wps = 44338
0.40 loss = 2.201, wps = 44443
0.50 loss = 2.202, wps = 44453
0.60 loss = 2.201, wps = 44852
0.70 loss = 2.201, wps = 44488
0.80 loss = 2.200, wps = 44626
0.90 loss = 2.201, wps = 44699
Epoch: 26, Loss = 2.200, 
0.00 loss = 2.196, wps = 41769
0.10 loss = 2.203, wps = 44380
0.20 loss = 2.204, wps = 44661
0.30 loss = 2.198, wps = 44609
0.40 loss = 2.200, wps = 44423
0.50 loss = 2.200, wps = 44105
0.60 loss = 2.200, wps = 44173
0.70 loss = 2.201, wps = 44165
0.80 loss = 2.199, wps = 44280
0.90 loss = 2.200, wps = 44645
Epoch: 27, Loss = 2.200, 
0.00 loss = 2.203, wps = 41427
0.10 loss = 2.204, wps = 44456
0.20 loss = 2.204, wps = 44361
0.30 loss = 2.197, wps = 44097
0.40 loss = 2.200, wps = 44263
0.50 loss = 2.200, wps = 44189
0.60 loss = 2.200, wps = 44247
0.70 loss = 2.200, wps = 44410
0.80 loss = 2.199, wps = 44331
0.90 loss = 2.200, wps = 43996
Epoch: 28, Loss = 2.200, 
0.00 loss = 2.206, wps = 25117
0.10 loss = 2.202, wps = 44978
0.20 loss = 2.203, wps = 44560
0.30 loss = 2.197, wps = 44894
0.40 loss = 2.199, wps = 44803
0.50 loss = 2.199, wps = 44335
0.60 loss = 2.199, wps = 44481
0.70 loss = 2.200, wps = 45337
0.80 loss = 2.198, wps = 44378
0.90 loss = 2.200, wps = 44913
Epoch: 29, Loss = 2.200, 
0.00 loss = 2.201, wps = 41282
0.10 loss = 2.203, wps = 44319
0.20 loss = 2.204, wps = 44519
0.30 loss = 2.197, wps = 44638
0.40 loss = 2.199, wps = 44241
0.50 loss = 2.200, wps = 46169
0.60 loss = 2.200, wps = 46361
0.70 loss = 2.200, wps = 44736
